#caseId; HolidayType; Price; NumberOfPersons; Region; Transportation; Duration; Season; Accommodation; Hotel
Journey1;Bathing;2498;2;Egypt;Plane;14;April;TwoStars;Hotel White House, Egypt
Journey2;Bathing;3066;3;Egypt;Plane;21;May;TwoStars;Hotel White House, Egypt
Journey3;Active;2778;2;Egypt;Plane;14;June;TwoStars;Hotel Geisum, Egypt
Journey4;Bathing;3195;3;Egypt;Plane;7;July;ThreeStars;Hotel Al Mashrabia, Egypt
Journey5;Bathing;3158;2;Egypt;Plane;14;September;ThreeStars;Hotel Al Mashrabia, Egypt
Journey6;Active;3318;2;Egypt;Plane;14;October;ThreeStars;Hotel Al Mashrabia, Egypt
Journey7;Bathing;2458;2;Egypt;Plane;14;June;FourStars;Hotel Winter Palace, Egypt
Journey8;Active;2649;3;Egypt;Plane;7;July;FourStars;Hotel Winter Palace, Egypt
Journey9;Education;4638;2;Egypt;Plane;21;April;FourStars;Anlage Arabia Beach, Egypt
Journey10;Education;3738;2;Egypt;Plane;14;October;FourStars;Anlage Arabia Beach, Egypt
Journey11;City;1978;2;Cairo;Plane;7;April;ThreeStars;Hotel Victoria, Cairo
Journey12;City;1898;2;Cairo;Plane;7;May;ThreeStars;Hotel Victoria, Cairo
Journey13;City;2158;2;Cairo;Plane;14;June;ThreeStars;Hotel Victoria, Cairo
Journey14;City;1898;2;Cairo;Plane;7;September;ThreeStars;Hotel Victoria, Cairo
Journey15;City;1154;1;Cairo;Plane;7;October;ThreeStars;Hotel New Marwa Palace, Cairo
Journey16;City;2308;2;Cairo;Plane;7;April;ThreeStars;Hotel New Marwa Palace, Cairo
Journey17;City;2658;2;Cairo;Plane;7;May;ThreeStars;Hotel New Marwa Palace, Cairo
Journey18;City;1269;1;Cairo;Plane;14;July;ThreeStars;Hotel New Marwa Palace, Cairo
Journey19;City;2608;2;Cairo;Plane;7;May;FiveStars;Hotel Moevenpick, Cairo
Journey20;City;2468;2;Cairo;Plane;7;August;FiveStars;Hotel Moevenpick, Cairo
Journey21;Recreation;1568;2;Belgium;Car;14;May;TwoStars;Hotel Ostend, Belgium
Journey22;Active;798;3;Belgium;Car;7;June;TwoStars;Hotel Ostend, Belgium
Journey23;Recreation;978;3;Belgium;Car;7;July;ThreeStars;Acces Hotel Mercure, Belgium
Journey24;Recreation;978;2;Belgium;Car;7;August;ThreeStars;Acces Hotel Mercure, Belgium
Journey25;Active;1448;3;Belgium;Car;14;September;HolidayFlat;H.Flat, Belgium
Journey26;Recreation;1638;4;Belgium;Car;14;June;HolidayFlat;H.Flat, Belgium
Journey27;Recreation;1079;4;Belgium;Car;7;July;HolidayFlat;H.Flat, Belgium
Journey28;Bathing;499;4;Belgium;Car;3;August;HolidayFlat;H.Flat, Belgium
Journey29;Bathing;399;6;Belgium;Car;3;September;HolidayFlat;H.Flat, Belgium
Journey30;Recreation;1928;2;Belgium;Train;14;July;ThreeStars;Acces Hotel Mercure, Belgium
Journey31;Bathing;1598;2;Bulgaria;Plane;14;June;TwoStars;Hotel Amfibia, Sunny Beach
Journey32;Bathing;2043;3;Bulgaria;Plane;14;July;TwoStars;Hotel Hemus, Sunny Beach
Journey33;Bathing;1658;4;Bulgaria;Plane;7;August;TwoStars;Hotel Raliza, Albena
Journey34;Bathing;1558;2;Bulgaria;Plane;7;July;ThreeStars;Hotel Phoenix, Sunny Beach
Journey35;Active;1718;2;Bulgaria;Plane;14;June;ThreeStars;Hotel Nessebar, Sunny Beach
Journey36;Bathing;1383;3;Bulgaria;Plane;7;August;ThreeStars;Hotel Gergana, Albena
